date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20170811,2017-08-11,2017,3,8,August,11,Friday,False
20170812,2017-08-12,2017,3,8,August,12,Saturday,True
20170813,2017-08-13,2017,3,8,August,13,Sunday,True
20170814,2017-08-14,2017,3,8,August,14,Monday,False
20170815,2017-08-15,2017,3,8,August,15,Tuesday,False
20170816,2017-08-16,2017,3,8,August,16,Wednesday,False
20170817,2017-08-17,2017,3,8,August,17,Thursday,False
20170818,2017-08-18,2017,3,8,August,18,Friday,False
20170819,2017-08-19,2017,3,8,August,19,Saturday,True
20170820,2017-08-20,2017,3,8,August,20,Sunday,True
20170821,2017-08-21,2017,3,8,August,21,Monday,False
20170822,2017-08-22,2017,3,8,August,22,Tuesday,False
20170823,2017-08-23,2017,3,8,August,23,Wednesday,False
20170824,2017-08-24,2017,3,8,August,24,Thursday,False
20170825,2017-08-25,2017,3,8,August,25,Friday,False
20170826,2017-08-26,2017,3,8,August,26,Saturday,True
20170827,2017-08-27,2017,3,8,August,27,Sunday,True
20170828,2017-08-28,2017,3,8,August,28,Monday,False
20170829,2017-08-29,2017,3,8,August,29,Tuesday,False
20170830,2017-08-30,2017,3,8,August,30,Wednesday,False
20170831,2017-08-31,2017,3,8,August,31,Thursday,False
20170901,2017-09-01,2017,3,9,September,1,Friday,False
20170902,2017-09-02,2017,3,9,September,2,Saturday,True
20170903,2017-09-03,2017,3,9,September,3,Sunday,True
20170904,2017-09-04,2017,3,9,September,4,Monday,False
20170905,2017-09-05,2017,3,9,September,5,Tuesday,False
20170906,2017-09-06,2017,3,9,September,6,Wednesday,False
20170907,2017-09-07,2017,3,9,September,7,Thursday,False
20170908,2017-09-08,2017,3,9,September,8,Friday,False
20170909,2017-09-09,2017,3,9,September,9,Saturday,True
20170910,2017-09-10,2017,3,9,September,10,Sunday,True
20170911,2017-09-11,2017,3,9,September,11,Monday,False
20170912,2017-09-12,2017,3,9,September,12,Tuesday,False
20170913,2017-09-13,2017,3,9,September,13,Wednesday,False
20170914,2017-09-14,2017,3,9,September,14,Thursday,False
20170915,2017-09-15,2017,3,9,September,15,Friday,False
20170916,2017-09-16,2017,3,9,September,16,Saturday,True
20170917,2017-09-17,2017,3,9,September,17,Sunday,True
20170918,2017-09-18,2017,3,9,September,18,Monday,False
20170919,2017-09-19,2017,3,9,September,19,Tuesday,False
20170920,2017-09-20,2017,3,9,September,20,Wednesday,False
20170921,2017-09-21,2017,3,9,September,21,Thursday,False
20170922,2017-09-22,2017,3,9,September,22,Friday,False
20170923,2017-09-23,2017,3,9,September,23,Saturday,True
20170924,2017-09-24,2017,3,9,September,24,Sunday,True
20170925,2017-09-25,2017,3,9,September,25,Monday,False
20170926,2017-09-26,2017,3,9,September,26,Tuesday,False
20170927,2017-09-27,2017,3,9,September,27,Wednesday,False
20170928,2017-09-28,2017,3,9,September,28,Thursday,False
20170929,2017-09-29,2017,3,9,September,29,Friday,False
